stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
73,0.5,2.5,78.50438680000661,,78.48924480000278,78.50438680000661,78.98861509999551,78.98861509999551,79.00494719999551,79.28878560000157,79.47490220000327,left,-2.5,0,0,0.4846831999893766,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
74,0.5,3.0,79.48928069999965,,79.47498339999584,79.48928069999965,79.98984439999913,79.98984439999913,79.98984439999913,80.28984310000669,80.67485609999858,left,-3.0,1,1,0.6693203000031644,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
75,0.5,3.0,80.6901971000043,,80.67493100000138,80.6901971000043,81.17404510000779,81.17404510000779,81.19099469999492,81.4745139000006,81.59319899999537,right,3.0,1,1,0.41579309999360703,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
76,0.5,3.0,81.60786689999804,,81.59326660000079,81.60786689999804,82.10842940000293,82.10842940000293,82.10842940000293,82.40880319999997,82.61029900000722,left,-3.0,1,1,0.4943070000008447,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
77,0.5,2.5,82.62561360000109,,82.61037920000672,82.62561360000109,83.1097243999975,83.1097243999975,83.12623229999735,83.40993409999646,83.7959458999976,left,-2.5,1,1,0.6846739000029629,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
78,0.5,2.5,83.81041190000542,,83.79601710000134,83.81041190000542,84.31089130000328,84.31089130000328,84.31089130000328,84.61126479999803,84.7793093000073,left,-2.5,1,1,0.46144729999650735,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
79,0.5,2.5,84.7945910999988,,84.77938390000782,84.7945910999988,85.27874310000334,85.27874310000334,85.29540109999652,85.57880329999898,85.69685059999756,left,-2.5,1,1,0.40108320000581443,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
80,0.5,2.0,85.71240899999975,,85.69691939999757,85.71240899999975,86.19644489999337,86.19644489999337,86.21328939999512,86.49641639999754,86.59807419999561,right,2.0,0,0,0.3878543000028003,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
81,0.5,2.5,86.6134607999993,,86.59814339999866,86.6134607999993,87.09734219999518,87.09734219999518,87.11418859999685,87.39776300000085,87.64915310000652,right,2.5,1,1,0.548718000005465,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
82,0.5,2.5,87.66494849999435,,87.64925940000103,87.66494849999435,88.14862069999799,88.14862069999799,88.16549630000372,88.44878690000041,88.61682789999759,left,-2.5,1,1,0.46270230000664014,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
83,0.5,2.5,88.63222119999409,,88.61689829999523,88.63222119999409,89.11675669999386,89.11675669999386,89.13280000000668,89.41703490000509,89.61798080000153,left,-2.5,0,0,0.49174240000138525,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
84,0.5,3.0,89.63350999999966,,89.61805200000526,89.63350999999966,90.13375730000553,90.13375730000553,90.13375730000553,90.43398539999907,90.7529244000034,left,-3.0,1,1,0.61325909999141,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
85,0.5,3.0,90.76784840000619,,90.75304729999334,90.76784840000619,91.2518815999938,91.2518815999938,91.26873239999986,91.55231129999447,91.70394960000704,left,-3.0,1,1,0.4505817000026582,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
